id,phone,company_name,industry,annual_revenue,account_number_external_id,number_of_locations,number_of_employees,sla,sla_serial_number
184,620-231-6256,RPM International Inc.,Paints/Coatings,20656529,23c020cc-7892-4d04-8ae5-35877845cca1,1,495,Gold,091213877
185,866-638-5516,Gentherm Inc,Auto Parts:O.E.M.,7580005,a63ac421-a5c3-4a1e-93c9-5cfd186fff33,8,311,Gold,121000044
186,334-230-2207,Western Asset/Claymore U.S Treasury Inflation Prot Secs Fd 2,n/a,22113871,7ec56e64-6ab4-476b-8af2-b30bcee89d06,7,760,Platinum,107002846
187,510-180-6582,Pyxis Tankers Inc.,Marine Transportation,64053983,601e0b17-bc2b-47a8-b228-547b6b68fafe,2,427,Bronze,101107116
188,740-138-3033,John Hancock Investors Trust,n/a,83701926,7e78f888-5506-466a-aa9d-63f7f924ca40,18,865,Platinum,111105234
189,624-876-4966,AdvanSix Inc.,Major Chemicals,90463804,59a04be9-28b2-42b8-8087-4811a403aa53,12,203,Gold,103104764
190,817-972-4279,Arcos Dorados Holdings Inc.,Restaurants,42808358,292aba66-b097-4d75-ba0a-982530b54859,19,741,Silver,323271493
191,459-353-0654,Otelco Inc.,Telecommunications Equipment,30499215,51825907-966f-4a09-a32d-17ec3070707f,2,357,Gold,114916488
192,971-975-7846,BioLineRx Ltd.,Major Pharmaceuticals,80899152,29d8d9cb-0a18-42a5-b6a4-7ae475304d70,9,451,Silver,073903325
193,206-336-4948,Cerus Corporation,Medical/Dental Instruments,57488297,018973d3-3ab2-4290-ae00-b72452f5a9b9,20,528,Silver,043300712
194,716-621-2163,"Ruby Tuesday, Inc.",Restaurants,9086714,5b1cc238-6498-4842-bdc6-678f6be15122,9,59,Platinum,322079719
195,723-278-8245,"Cyclacel Pharmaceuticals, Inc.",Major Pharmaceuticals,12930256,e2061b1a-8245-4884-a319-43edcaf0fbd7,18,151,Bronze,111908127
196,579-873-2079,Ladder Capital Corp,Real Estate Investment Trusts,92667884,2c273aac-1ad4-4357-beef-6503d665d050,6,366,Bronze,031207801
197,294-869-8072,Gol Linhas Aereas Inteligentes S.A.,Air Freight/Delivery Services,77585963,7c0d06e9-e0d0-4a7d-87f8-accca3659196,16,308,Bronze,111300945
198,437-137-5978,Ladder Capital Corp,Real Estate Investment Trusts,90387628,7c28a831-a5d6-41e2-9b97-8a8deb47dfdf,16,862,Silver,065103887
199,138-425-4174,Hyatt Hotels Corporation,Hotels/Resorts,17888910,dd2ac4c3-32d2-4268-a6a3-70ef53e9a9af,15,476,Bronze,073904890
200,688-923-5347,Atrion Corporation,Medical/Dental Instruments,50781032,70df4068-6bc7-4090-ac83-d23e89b5305c,17,778,Platinum,271973924
201,903-830-2831,PennantPark Floating Rate Capital Ltd.,n/a,95515083,46131772-d11f-4df7-9795-afa0545c87a0,5,205,Bronze,082904085
202,981-617-4894,"Cidara Therapeutics, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),69536547,4af5546f-b03a-459c-8327-098fbd270176,12,865,Gold,073903325
203,721-966-6506,"Pacific Biosciences of California, Inc.",Biotechnology: Laboratory Analytical Instruments,37922728,2d340b58-2b7c-4a6e-834a-d925a6df517a,4,488,Bronze,125108447
204,807-898-8845,Amdocs Limited,EDP Services,75298580,37b789b3-9424-46e7-9a57-61474930839a,11,102,Gold,122243648
205,606-616-2924,Principal U.S. Small Cap Index ETF,n/a,55897621,3dd06980-1529-47e2-868d-9a211e3aecb0,9,174,Bronze,091909217
206,916-591-5404,DDR Corp.,Real Estate Investment Trusts,77319834,ff1e5ec9-48ab-42e1-af0a-085bde79f0aa,20,554,Platinum,071919463
207,610-560-8429,Multi-Color Corporation,Publishing,37233273,1420aaca-3acb-4706-8cf8-f51a5ca723a2,2,496,Silver,113012503
208,618-407-3663,Gol Linhas Aereas Inteligentes S.A.,Air Freight/Delivery Services,33123877,2ee1d586-0ab1-4fcb-bc2b-91b1526cde5f,4,383,Platinum,122401710
209,200-931-9336,Canadian National Railway Company,Railroads,17040288,65e94584-fc1a-4a1e-9f9a-a2872743b211,11,23,Platinum,062202736
210,549-276-4006,Jones Lang LaSalle Incorporated,Real Estate,61177582,8cc3db6b-b410-48be-addc-64dd475663b0,3,835,Gold,073921569
211,590-742-2894,Enerplus Corporation,Oil & Gas Production,96929749,718275db-894f-4b13-989f-f8e1c815984a,19,139,Gold,031314707
212,677-409-9606,Pyxis Tankers Inc.,Marine Transportation,79750514,f010211a-a28d-4ce2-9a08-75c58ef87149,5,285,Gold,113125380
213,339-841-1230,Synnex Corporation,Retail: Computer Software & Peripheral Equipment,86633772,a045f103-8b7f-4f35-9c86-2e9e89cf4837,7,905,Silver,221973563
214,197-515-9337,The Goodyear Tire & Rubber Company,Automotive Aftermarket,29074393,0d446f3c-eaa8-405f-87db-be5a245aca9c,5,741,Platinum,113125380
215,279-440-5248,OM Asset Management plc,Investment Managers,62229786,1c5cc911-b0a2-4df0-91bc-7735e65a309c,12,248,Silver,073905718
216,452-992-3369,iShares Nasdaq Biotechnology Index Fund,n/a,44988647,f9a93934-5bcf-44b7-b777-2250822e5435,16,458,Bronze,211170046
217,386-230-8741,"AmTrust Financial Services, Inc.",Property-Casualty Insurers,12577023,15261f36-e965-4aeb-b11a-9bea3ca1c0b6,1,393,Silver,061204900
218,299-207-6815,"Templeton Emerging Markets Income Fund, Inc.",n/a,34510008,6a6c39c2-a5d3-412b-aa1f-fba6406d52aa,16,609,Gold,091204569
219,328-627-6138,Invesco Quality Municipal Income Trust,n/a,44068232,f385ce57-3e1e-4ec5-a8fc-5e0806dd1486,1,603,Gold,053112042
220,751-468-9878,NewJersey Resources Corporation,Oil/Gas Transmission,19633220,46781a7a-df31-4577-8d9a-4321c0e74551,3,382,Silver,113015584
221,598-741-3787,Meritage Corporation,Homebuilding,8483861,5ec11059-dd00-4a8b-ae11-62ee18a6218d,15,181,Bronze,275971582
222,731-463-4906,"Taubman Centers, Inc.",n/a,24687012,14752af8-13a5-41a7-a9ae-cdb6d183d8ba,2,396,Bronze,073900580
223,854-133-1016,"AmTrust Financial Services, Inc.",Property-Casualty Insurers,47492047,5c6b178f-31a9-48a3-88ad-f5ad08400a4c,1,865,Silver,082901460
224,445-190-7762,Oramed Pharmaceuticals Inc.,Major Pharmaceuticals,35262014,c34b8ac4-8721-4805-91e8-78c7223e8952,7,966,Silver,221472776
225,239-163-6069,"Watts Water Technologies, Inc.",Metal Fabrications,55624542,d1a101a1-d30c-4985-9560-50b18cc845d3,6,651,Bronze,061108161
226,168-778-6386,"HFF, Inc.",Real Estate,67394668,fe569723-9a2d-4fd2-b10a-2f3819ebae18,17,217,Silver,122037841
227,199-848-5758,First Trust Alternative Absolute Return Strategy ETF,n/a,81210857,e193874e-3e8f-4dbf-92af-1c7d17f43b6d,6,16,Gold,111306871
228,420-527-0573,Virtus Global Multi-Sector Income Fund,n/a,14207450,ee6ff8a5-47fd-40de-8008-67ea0fd7aaea,18,124,Bronze,071925224
229,573-177-9727,Embotelladora Andina S.A.,n/a,96805043,242c6f50-af7d-4d94-8c79-c0f2111c5bc8,9,873,Bronze,053207533
230,611-374-5695,"Safeguard Scientifics, Inc.",Finance/Investors Services,24147711,b42997a9-1c15-4a6c-bff0-da6c7d0ce70d,14,279,Bronze,075904238
231,330-262-3172,"American Financial Group, Inc.",Property-Casualty Insurers,32234620,a7f33dfa-fd7b-4381-a92d-280a6c8a9424,5,750,Silver,091108746
232,578-205-8999,Swift Transportation Company,Trucking Freight/Courier Services,34991976,fc215f11-a70c-4495-b25c-3874e4ca0602,12,82,Platinum,043317679
233,362-741-0190,Capitala Finance Corp.,n/a,61987549,af5cc9a0-8235-474b-b2cf-07a01057081f,18,795,Silver,071106250
234,218-253-6316,"American Realty Investors, Inc.",Real Estate,64730438,d0347f74-8238-487f-8a75-228c96f269f9,8,304,Bronze,071924005
235,561-117-5609,"Donnelley Financial Solutions, Inc.",Other Consumer Services,46425308,bc9a3273-c49e-4291-abec-97afe4eb1857,8,382,Platinum,043018868
236,445-805-0526,"Hercules Capital, Inc.",n/a,78823382,61dd3ee6-0e46-40f3-b751-535bde7a755c,19,752,Silver,053101341
237,585-387-0835,Criteo S.A.,Advertising,85646510,323e75e1-e2db-4c28-906e-31a23861479f,9,499,Silver,272471438
238,465-654-4359,"Cellular Biomedicine Group, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),88868304,515d0b98-69db-4665-837d-6faa0c9ec639,12,337,Gold,062000116
239,342-172-4356,"Transcat, Inc.",Electrical Products,73692625,92704e6f-0b28-4a21-9d05-fda75e81fb35,15,376,Silver,051502434
240,398-150-5547,"Salisbury Bancorp, Inc.",Savings Institutions,11159589,393f2fb8-7937-40e0-9cfc-950e5c2bf97f,9,842,Silver,081917662
241,464-860-8360,iShares MSCI EM ESG Optimized ETF,n/a,80169659,974112f9-0e93-4238-9199-63b212120655,2,193,Silver,073914398
242,318-352-3097,"M I Acquisitions, Inc.",Business Services,35457218,94c59796-234b-4914-bc36-88405c03030a,3,713,Silver,074902341
243,542-608-6495,"Innovative Solutions and Support, Inc.",EDP Services,23979296,4b72b45a-4e85-439b-943a-71bafe1e6898,8,660,Bronze,104905742
244,213-287-2454,Rent-A-Center Inc.,Diversified Commercial Services,66809690,99ebd9c0-af14-4585-a96d-445f0f1ad371,8,364,Silver,053207960
245,207-928-2221,"Zynerba Pharmaceuticals, Inc.",Major Pharmaceuticals,56615789,621cbeac-7fc1-4cdb-8c63-47c737a2f13a,19,177,Platinum,101000019
246,578-597-9052,Sapiens International Corporation N.V.,Computer Software: Prepackaged Software,7820932,5fc2bf35-808d-4f6a-86eb-97516270cac8,8,243,Silver,125108492
247,328-528-9225,"Ionis Pharmaceuticals, Inc.",Major Pharmaceuticals,9243237,a3efe491-3565-4306-94b5-9520aa755ffc,2,637,Gold,122244715
248,303-485-8264,Assured Guaranty Ltd.,n/a,81579824,2e7dd044-0605-42d7-983b-95b1ca5ae184,19,721,Gold,113110641
249,296-488-3278,"Parkway, Inc.",n/a,96462891,d0f0ed56-1472-4079-8bfc-578952e83626,3,546,Platinum,211870812
250,930-813-4661,Nuveen Ohio Quality Municipal Income Fund,n/a,83060812,5eb17150-fb85-45b4-95ea-6a27d0e1453e,14,738,Gold,122200759
251,133-809-1189,Dr. Reddy's Laboratories Ltd,Major Pharmaceuticals,5196294,8d524911-1694-4b42-ac0c-f01c71ea498a,10,271,Silver,041215278
252,134-873-7332,"Hill International, Inc.",Military/Government/Technical,42715278,8e7d6413-3298-46d1-bfa8-a974b321a6b9,12,396,Gold,113107612
253,666-640-2969,"Conifer Holdings, Inc.",Property-Casualty Insurers,88332285,9bbbfe4a-5c65-4bc1-9189-66f70c506cc2,7,324,Bronze,107006305
254,803-337-7490,News Corporation,Newspapers/Magazines,64770579,7579913a-3ad7-4d8a-901c-37987d9922bd,15,87,Bronze,042101792
255,919-431-6309,"Black Stone Minerals, L.P.",Oil & Gas Production,21172669,c29d903c-9f67-432b-9b33-d7d7521d05a1,17,766,Platinum,055001122
256,154-884-9229,Qwest Corporation,Telecommunications Equipment,1229425,4079b238-c63c-415e-8519-3ab3555eae8a,2,936,Platinum,103912723
257,533-954-9907,GDS Holdings Limited,"Computer Software: Programming, Data Processing",25089434,e2208c92-d52f-49ad-a2d4-de2f88d98376,7,411,Silver,061020317
258,840-624-4456,Mesoblast Limited,Biotechnology: Biological Products (No Diagnostic Substances),97989966,3cce83df-b298-4bd5-9046-a868a6749443,16,275,Platinum,031300669
259,838-544-3200,Lazard Global Total Return and Income Fund,n/a,10876933,a598e01b-0763-40aa-9b0c-ba41c365849d,11,260,Bronze,103106843
260,241-882-1681,Cray Inc,Computer Manufacturing,33988261,6377cb64-e739-447a-9ae7-96cd156a9de0,8,383,Silver,261378652
261,518-690-5954,CM Finance Inc,n/a,69833732,9f865fc1-f05c-4164-b84e-acbd94028e93,4,637,Platinum,067092310
262,756-579-0084,"AzurRx BioPharma, Inc.",n/a,55997859,11fc9c92-d980-4287-a80b-4b63fd2633f8,15,435,Bronze,103111155
263,303-832-4390,Dextera Surgical Inc.,Medical/Dental Instruments,59929346,dfdcd8ba-aa62-4f98-a269-a61f12b05f7d,19,289,Bronze,053174103
264,714-906-5149,"Blackrock MuniYield Fund, Inc.",n/a,84338751,2f330647-dcac-4098-8a4e-b8ae964a5c29,18,718,Gold,102300268
265,864-367-5455,"Rentech, Inc.",Agricultural Chemicals,61044522,8ca1e41f-a81a-49b1-8e5a-615a862f925e,19,546,Gold,053274168
266,419-616-8115,Capital One Financial Corporation,n/a,25311254,71a313b6-e1b0-44d1-92c8-91beb23ddc1a,2,821,Gold,104110113
267,883-834-6199,"NantHealth, Inc.",EDP Services,54298741,daf52a60-d727-43db-9672-c1b9558ef553,3,373,Silver,022000127
268,926-973-9806,"Estee Lauder Companies, Inc. (The)",Package Goods/Cosmetics,72265571,53e760ab-526c-4ffc-9371-83513b7d5932,14,187,Bronze,081507072
269,872-426-7747,Amaya Inc.,"Computer Software: Programming, Data Processing",48258082,affb82e1-7182-488f-8f20-f3cde8323f14,19,434,Silver,083002342
270,153-111-8763,Aegon NV,Life Insurance,50656658,36ef8d71-a2ab-466e-a254-19aff8b051a3,10,220,Platinum,065302358
271,945-887-7065,"Blackrock MuniHoldings New Jersey Insured Fund, Inc.",n/a,87356664,cef98a73-4498-4e79-b438-4833fa2f6ec0,8,375,Bronze,111917590
272,926-393-1537,"AstroNova, Inc.",Computer peripheral equipment,47644535,4ea314c8-4f79-4401-bde9-b3da47dcd655,19,269,Silver,091201232
273,460-474-0746,Seaspan Corporation,n/a,39049338,926f7377-687a-447f-a615-8d7f32cbbd22,10,879,Silver,082900487
274,983-409-7555,"First Cash, Inc.",Other Specialty Stores,76710582,edaee1a1-9c47-465c-97b9-1da07709b70b,1,75,Gold,057000668
275,871-245-0950,"DHI Group, Inc.",Business Services,17740866,9421f62a-58e5-4ec1-8c44-53a43ebb53c4,3,751,Bronze,111914687
276,344-727-8451,National Research Corporation,Biotechnology: Commercial Physical & Biological Resarch,93216427,23d2e23f-80c5-4c00-a120-766223eaf405,10,32,Platinum,062201724
277,406-324-8979,"Nutanix, Inc.",Computer Software: Prepackaged Software,76899789,03fe5b20-43ff-4b86-b66f-302e6efd4332,1,171,Silver,041203824
278,970-522-1965,"Sorrento Therapeutics, Inc.",Biotechnology: Commercial Physical & Biological Resarch,67068498,8d45f609-19f5-4560-aa2e-d8e01ff606c7,6,938,Silver,026073082
279,908-723-6269,DDR Corp.,Real Estate Investment Trusts,2916124,ca2b1e2f-c69f-470f-833f-9715421901df,15,370,Bronze,072400447
280,313-868-5023,"Royal Gold, Inc.",Precious Metals,65637688,75a09d5b-ebd7-4d44-a30f-e67a38e101a6,10,618,Bronze,253176215
281,924-415-6453,Highland/iBoxx Senior Loan ETF,n/a,26794499,12e41b6d-46ce-4019-b86d-c54f92a23fd4,14,272,Silver,075906838
282,266-192-6463,Tesoro Corporation,Integrated oil Companies,14840769,b615b67f-c093-4b1f-a888-19c60958ee89,1,18,Gold,082901813
283,406-515-7857,Easterly Acquisition Corp.,Building Products,75699030,cae4d025-19d7-4eaf-ab05-5f29be8cfcd3,18,641,Silver,021309997
284,318-287-6293,"Adams Natural Resources Fund, Inc.",n/a,85685519,820a3d8d-3e24-4ea3-8682-26ed317c4073,6,957,Silver,081307227
285,478-956-5728,iPath US Treasury Flattener ETN,Commercial Banks,67747580,8ef87609-03f1-4ce4-b3fb-9c4b29fa57ad,7,301,Silver,031317380
286,405-536-0949,Westinghouse Air Brake Technologies Corporation,Railroads,34146474,b1e288a4-c032-4f6e-b52d-09fe72cbbfc1,4,77,Gold,042207308
287,223-916-9204,Japan Smaller Capitalization Fund Inc,n/a,61101863,cb6f74d4-c288-4ed9-a065-00a612b18e90,17,114,Bronze,063105683
288,222-322-4445,BioLineRx Ltd.,Major Pharmaceuticals,84831212,03033b8e-3427-44ce-9451-4d2b5ad5e883,16,949,Silver,083905449
289,587-935-2144,Sphere 3D Corp.,EDP Services,68750677,b23c653f-a746-47e1-b3c4-047973d0a2a2,18,238,Bronze,031314707
290,459-530-0762,"American Financial Group, Inc.",Property-Casualty Insurers,34056432,ec7151dd-7e8d-40eb-9c97-e6d1133a52bc,5,482,Platinum,075911603
291,152-296-5513,Transdigm Group Incorporated,Military/Government/Technical,62860984,bee9db6b-ff8f-4e91-a77c-780cb9100e86,13,874,Gold,021912410
292,996-373-1433,Nuveen Real Estate Fund,n/a,67703470,05f618e3-1f1a-404b-b084-5fa9900fd82c,5,496,Bronze,124103896
293,934-799-5768,"Mitcham Industries, Inc.",Diversified Commercial Services,62905815,40dbf58b-25ce-4993-a4f1-f789e3617ca6,14,884,Silver,042100146
294,219-174-6284,Fluidigm Corporation,Biotechnology: Laboratory Analytical Instruments,8459633,66020e0f-d601-4fba-afbc-9d51d5e0ad6a,8,887,Silver,081000980
295,892-827-3361,Honeywell International Inc.,Auto Parts:O.E.M.,11460303,c7b4ddae-f82f-491a-80eb-780d28bc6e54,2,981,Bronze,111904338
296,278-968-6918,Western Asset Bond Fund,n/a,25131912,efe7e503-644c-4ab3-9f85-672229f8f2ea,6,878,Gold,021906934
297,942-550-2873,"Roadrunner Transportation Systems, Inc",Oil Refining/Marketing,78771275,5860ff19-66bc-4089-b6b5-c76caaf4a943,15,174,Gold,271250647
298,815-199-0393,Enbridge Inc,Natural Gas Distribution,16264501,4f446934-498b-4680-a7b1-259e46c62961,9,641,Platinum,084003191
299,588-852-6532,Leucadia National Corporation,Meat/Poultry/Fish,80090599,9495fe6b-0b1f-4679-bd6b-bdf1f0888b6b,11,373,Gold,065400894
300,158-739-7577,"Micronet Enertec Technologies, Inc.",Electrical Products,63753309,306f2001-baad-4a2f-a7f8-ca70169ea5fd,5,651,Silver,021200025
301,432-735-6476,Analogic Corporation,Electrical Products,69907943,7a5f8d1d-8c49-4108-881e-536f95ac7d8d,14,212,Platinum,071918309
302,791-972-3264,"Celadon Group, Inc.",Trucking Freight/Courier Services,94011824,b13f8b22-1a78-4258-a58a-1025d638ca1d,14,408,Silver,111912090
303,457-859-8888,Public Storage,Real Estate Investment Trusts,47974809,b1c4f1d8-fc03-4f93-b2fc-1b536ab7ad4f,16,80,Silver,091301815
304,232-820-2750,Ladder Capital Corp,Real Estate Investment Trusts,65612920,22b82377-f9c7-4669-be5e-34a91f56bf54,11,933,Bronze,062206295
305,709-433-6133,"Patterson Companies, Inc.",Medical Specialities,42850859,938f003a-0b07-4ffe-b421-8b92471b0c47,3,841,Silver,113101773
306,679-691-3737,"Verastem, Inc.",Major Pharmaceuticals,19195025,4ee78b2e-29c8-4e8f-9524-59738a9f5cbf,14,755,Platinum,055002480
307,586-867-2716,"Zillow Group, Inc.",Business Services,52810565,d6c80cf8-ef0c-48ca-8632-7d4e38863a95,5,129,Gold,053112806
308,893-862-0777,"RCI Hospitality Holdings, Inc.",Restaurants,33314869,aa03c8b3-6639-4228-87bd-233a54f2328f,11,584,Silver,092905168
309,216-737-3266,"Caleres, Inc.",Shoe Manufacturing,38037568,2ce49211-5a05-482c-a4df-c334bcc34c7a,8,866,Platinum,111313479
310,316-454-1149,NXP Semiconductors N.V.,Semiconductors,4388307,583bb2e3-0149-4d0d-9bcf-c51397e80d22,16,31,Bronze,065302154
311,510-833-2424,Alpine Global Premier Properties Fund,n/a,44617267,0ce6da86-da56-4410-a888-46512e8acd17,2,104,Platinum,111322457
312,205-723-0987,First Trust Large Cap Growth AlphaDEX Fund,n/a,6923748,8c839107-8814-4367-8b00-5d4a5346930e,19,876,Bronze,062102933
313,333-785-2408,"Inovio Pharmaceuticals, Inc.",Medical/Dental Instruments,22525515,fbb7be16-f36c-4c17-a60b-be6f4da67909,8,518,Gold,061119888
314,587-688-6331,BlackRock Strategic Municipal Trust Inc. (The),n/a,21385735,8335b4b9-90b0-4048-8632-0bed943db25a,9,736,Bronze,042100188
315,443-864-3932,"National Oilwell Varco, Inc.",Metal Fabrications,22435764,739bc240-ab31-4265-be50-679266f0eaf3,2,396,Bronze,071925237
316,474-291-3050,"Enova International, Inc.",Finance: Consumer Services,11468117,778835fa-ca53-4add-8505-13263019ce47,20,467,Silver,091215529
317,457-711-0233,Vector Group Ltd.,Farming/Seeds/Milling,87302089,33009f89-d008-42e6-b793-68b951a3c075,11,805,Gold,031901482
318,645-214-1343,"PNC Financial Services Group, Inc. (The)",n/a,69199194,f5b7de5d-79c3-4f45-8afb-00c6135d5eba,17,17,Bronze,091303376
319,221-970-4348,DENTSPLY SIRONA Inc.,Medical/Dental Instruments,29004489,5cb12097-7dab-4a47-bc65-a4870de44c4c,5,686,Platinum,211370846
320,258-448-4374,Charles & Colvard Ltd,Consumer Specialties,78333770,d656966e-f6b7-47ea-b451-562f99be4c48,3,700,Silver,081205455
321,954-534-5297,Manchester United Ltd.,Services-Misc. Amusement & Recreation,52080060,9195f526-c78d-4856-9ac8-6e7054436c4d,11,435,Bronze,031303763
322,746-969-0527,"XPO Logistics, Inc.",Transportation Services,39118540,f808a3b7-9f32-4a98-8de6-6139f227f4cc,19,246,Gold,042107068
323,732-864-2444,CMS Energy Corporation,Power Generation,70217674,3ea21d0a-f95b-4cab-bcef-6bc7908a0114,10,146,Gold,101115030
324,619-247-0384,Ducommun Incorporated,Military/Government/Technical,81047419,b48c9b8a-a0dc-4516-bcae-83987c7408e3,16,492,Platinum,281371972
325,928-349-1895,"CBOE Holdings, Inc.",Investment Bankers/Brokers/Service,36126668,2a48ad24-c972-466c-a3f6-38b2ba24172a,15,27,Bronze,071918150
326,474-592-5443,"Brookline Bancorp, Inc.",Savings Institutions,5942349,ce53dc15-44dc-4f6d-8cb4-8b1f329001e5,17,123,Gold,083000920
327,761-145-8525,"Bottomline Technologies, Inc.",Computer Software: Prepackaged Software,15572210,ab494d69-3df7-472f-ac38-18090913f0f9,9,472,Bronze,071911788
328,305-561-5763,"ESSA Bancorp, Inc.",Banks,13612001,f7c8827b-7dab-4a7b-9787-dc03e622cbb6,12,386,Silver,043308277
329,231-153-6948,Horace Mann Educators Corporation,Property-Casualty Insurers,32786266,2953f5c8-f648-4612-9e8d-7cfb9da119ab,18,129,Gold,103102889
330,781-422-7083,Wintrust Financial Corporation,Major Banks,44414363,dcbe16b3-94ef-41e8-bb34-7e0ab6410811,15,560,Bronze,113015995
331,618-343-7673,Pimco California Municipal Income Fund II,n/a,37877817,743e158f-1b05-45a0-bd5c-5b11c85bbfd8,11,54,Platinum,083009060
332,952-238-3442,"Sun Communities, Inc.",n/a,36190287,dcff7dd5-673f-4a89-87b2-b5e98db229ee,3,685,Bronze,111317637
333,133-420-7925,iShares MSCI Qatar Capped ETF,n/a,59222243,3934a720-33db-4c08-84b3-f363e0544e85,4,142,Gold,271071321
334,637-980-9591,"Pinnacle Foods, Inc.",Packaged Foods,38314151,ae111dba-2e27-48f4-8e4a-acf700ce3296,9,579,Platinum,322270356
335,156-436-7467,"Winnebago Industries, Inc.",Homebuilding,76592381,2ead2cfd-37f3-4e9d-ad9c-e0eed782e70c,9,747,Platinum,125106986
336,804-133-2713,"Portola Pharmaceuticals, Inc.",Major Pharmaceuticals,51997227,ea2bfbde-f331-4489-8eda-02fa6bc7bd5e,14,890,Platinum,226071389
337,392-294-1230,El Paso Electric Company,Electric Utilities: Central,15129561,ae5b8141-66f3-43f4-b6f5-bb96a39f507b,10,790,Silver,082900487
338,157-568-2365,iShares MSCI Brazil Small-Cap ETF,n/a,95529123,761902fe-0e36-4477-b348-b05ce42e701b,15,127,Bronze,074907414
339,822-805-6200,Vanguard Short-Term Government ETF,n/a,63138595,6f84d65c-5d10-4d28-b38a-d98b2694ddc7,6,961,Silver,241282632
340,730-398-2351,"Unifi, Inc.",Textiles,59283677,6cb608a9-68a9-4c18-b02b-771d7ce8f30c,15,51,Gold,062000019
341,130-316-4118,"Paratek Pharmaceuticals, Inc. ",Major Pharmaceuticals,65634034,e9dff9bf-b308-42e9-9e08-6df600825845,10,260,Bronze,322270055
342,907-848-3969,Six Flags Entertainment Corporation New,Services-Misc. Amusement & Recreation,18633582,39a27889-1722-44cb-a427-58a6970dd040,4,878,Gold,113103726
343,513-594-1945,"Southwest Gas Holdings, Inc.",Oil & Gas Production,17394945,ef82b176-986c-4193-b515-42a9f3639d9d,6,137,Silver,075907413
344,552-677-7531,"Digital Turbine, Inc.",Multi-Sector Companies,63209351,46172369-2ff4-4652-9b88-1ac6bf1c79d3,2,561,Silver,062203227
345,130-766-4403,Five Oaks Investment Corp.,n/a,92480551,ddf0268a-90cb-406a-a615-7f88e34a73ca,16,724,Platinum,122038442
346,924-120-9741,Embraer-Empresa Brasileira de Aeronautica,Aerospace,70450201,94aad115-32c8-4ee2-af44-4db297cb5487,15,683,Bronze,021202311
347,428-416-1349,"Novavax, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),90109489,d982b697-3a43-4ee5-93aa-03738f5edbcf,1,512,Bronze,084202837
348,575-599-4134,"Rudolph Technologies, Inc.",Industrial Machinery/Components,48136041,9810ab79-46cc-4917-90c8-f501cfbcad6c,17,742,Platinum,071102568
349,219-828-1979,"Pulmatrix, Inc.",Major Pharmaceuticals,66290962,7062f732-d56a-423f-9721-128817c21f9e,4,479,Gold,111915398
350,474-256-1115,"DSP Group, Inc.",Semiconductors,64160120,c95df157-6a82-4237-91bc-553951be3135,17,745,Silver,071106218
351,802-530-1598,"Sigma Designs, Inc.",Semiconductors,72005519,d083dc50-7f09-4dbc-b46d-69c4e1f3d535,12,295,Gold,101002716
352,701-253-5516,Nuveen Global High Income Fund,n/a,89754649,30ea32ee-022e-43c1-b89e-a00f35bae831,2,95,Silver,114905813
353,603-271-9525,"Rollins, Inc.",Diversified Commercial Services,11711428,39260d26-043a-43c9-ad4f-c687228139cb,17,772,Gold,044106944
354,585-121-7224,Herc Holdings Inc.,n/a,21596260,f8c9bb96-f3cd-4a54-8dbf-58d5a3dc926a,2,526,Bronze,065300020
355,414-388-6564,"Amphastar Pharmaceuticals, Inc.",Major Pharmaceuticals,63588646,7188defe-18db-451c-9167-d849b01ba7a7,15,17,Gold,063101399
356,263-303-3658,"Mexico Equity and Income Fund, Inc. (The)",n/a,31117413,4f8008e7-26e6-4599-a61a-5fd3dceb8604,5,868,Platinum,063114946
357,180-993-2188,First Financial Corporation Indiana,Major Banks,68352880,68c3d109-56a2-4c4f-8b5b-f4e3a46709b5,18,75,Platinum,081518634
358,984-157-7731,"Hill International, Inc.",Military/Government/Technical,2714428,048d9cba-acdb-48b4-afcd-79c5da3b73c3,12,884,Silver,303188111
359,676-973-7473,China Rapid Finance Limited,Finance: Consumer Services,32440751,a1f75f71-e2db-4c60-916d-dd868af870f1,13,430,Gold,081309364
360,583-995-4267,"TESARO, Inc.",Major Pharmaceuticals,22870610,06c14d76-3db1-4605-98f9-667a21af88e3,17,27,Bronze,104905836
361,288-875-4229,"AVEO Pharmaceuticals, Inc.",Major Pharmaceuticals,89998892,1c74da3d-0492-4003-ae63-cdb4f1eb03be,19,508,Silver,091408695
362,393-277-1831,"Cohen & Steers Total Return Realty Fund, Inc.",n/a,96668108,e69bb480-e88c-4464-90d5-322f026d0c3a,6,779,Gold,101113812
363,376-600-6318,NeoPhotonics Corporation,Semiconductors,1960686,436bac7b-7fc2-4201-a249-e87eeeccd028,6,568,Gold,241070459
364,982-571-6578,ENGlobal Corporation,Military/Government/Technical,55504435,7cf51b91-312e-4da6-b2db-05ee87ecb311,20,166,Platinum,101089292
365,453-232-7072,Colonial Municipal Income Trust,n/a,10707015,93ef6a01-6a04-4a66-a596-61595706ba56,12,469,Bronze,011804185
366,724-100-9162,Yirendai Ltd.,Finance: Consumer Services,46853344,4a810cb1-5e29-4917-8b2a-88b67edb81ec,12,860,Bronze,125108272
